top - 11:07:30 up 13 min,  1 user,  load average: 2,37, 1,96, 1,21
Tasks: 247 total,   2 running, 245 sleeping,   0 stopped,   0 zombie
%Cpu(s): 19,0 us,  6,0 sy,  0,0 ni, 72,0 id,  3,0 wa,  0,0 hi,  0,0 si,  0,0 st
МиБ Mem :   3767,6 total,    162,8 free,   1661,8 used,   1943,0 buff/cache
МиБ Swap:   2048,0 total,   2047,7 free,      0,2 used.   1635,1 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1359 moira     20   0   19152  10640   8304 S   0,0   0,3   0:01.42 systemd
   1360 moira     20   0  103640   3536      4 S   0,0   0,1   0:00.00 (sd-pam)
   1365 moira      9 -11  966388  17608  14000 S   0,0   0,5   0:00.36 pulseaudio
   1367 moira     39  19  522972  24720  16680 S   0,0   0,6   0:00.44 tracker-miner-f
   1370 moira     20   0    8908   6120   3888 S   0,0   0,2   0:01.84 dbus-daemon
   1375 moira     20   0  251800   8404   7328 S   0,0   0,2   0:00.36 gnome-keyring-d
   1390 moira     20   0  251116   8180   7232 S   0,0   0,2   0:00.10 gvfsd
   1395 moira     20   0  378344   6500   5836 S   0,0   0,2   0:00.02 gvfsd-fuse
   1398 moira     20   0  325528   9764   8108 S   0,0   0,3   0:00.45 gvfs-udisks2-vo
   1410 moira     20   0  249476   7604   6776 S   0,0   0,2   0:00.05 gvfs-gphoto2-vo
   1413 moira     20   0  173016   6276   5740 S   0,0   0,2   0:00.02 gdm-wayland-ses
   1416 moira     20   0  247076   6252   5660 S   0,0   0,2   0:00.04 gvfs-mtp-volume
   1419 moira     20   0  199592  13720  12344 S   0,0   0,4   0:00.10 gnome-session-b
   1430 moira     20   0  328124   9200   8204 S   0,0   0,2   0:00.11 gvfs-afc-volume
   1438 moira     20   0  248088   7344   6616 S   0,0   0,2   0:00.05 gvfs-goa-volume
   1448 moira     20   0  633720  57980  35572 S   0,0   1,5   0:02.06 goa-daemon
   1465 moira     20   0  326320   9392   8284 S   0,0   0,2   0:00.12 goa-identity-se
   1484 moira     20   0  101444   4260   3840 S   0,0   0,1   0:00.00 gnome-session-c
   1496 moira     20   0  422632  16416  13860 S   0,0   0,4   0:00.42 gnome-session-b
   1516 moira     20   0  305416   6720   6012 S   0,0   0,2   0:00.03 at-spi-bus-laun
   1524 moira     20   0    7248   4332   3868 S   0,0   0,1   0:00.06 dbus-daemon
   1543 moira     20   0 1390432  85792  57172 S   0,0   2,2   0:22.16 Xwayland
   1566 moira     20   0  247140   6168   5640 S   0,0   0,2   0:00.04 xdg-permission-
   1568 moira     20   0  860088  20956  17472 S   0,0   0,5   0:00.43 gnome-shell-cal
   1577 moira     20   0  553104  32860  25200 S   0,0   0,9   0:00.54 evolution-sourc
   1583 moira     20   0  156228   5528   4956 S   0,0   0,1   0:00.02 dconf-service
   1586 moira     20   0  173688   6696   6100 S   0,0   0,2   0:00.03 gvfsd-metadata
   1596 moira     20   0 1620836  35540  29948 S   0,0   0,9   0:00.67 evolution-calen
   1617 moira     20   0  758612  30576  26472 S   0,0   0,8   0:00.25 evolution-addre
   1636 moira     20   0  325560   8336   7376 S   0,0   0,2   0:00.08 gvfsd-trash
   1643 moira     20   0 2745256  27132  22128 S   0,0   0,7   0:00.24 gjs
   1645 moira     20   0  162772   6756   6120 S   0,0   0,2   0:00.05 at-spi2-registr
   1660 moira     20   0  321292   7068   6436 S   0,0   0,2   0:00.03 gsd-a11y-settin
   1661 moira     20   0  426976  24712  19728 S   0,0   0,6   0:00.36 gsd-color
   1662 moira     20   0  385236  16452  14488 S   0,0   0,4   0:00.09 gsd-datetime
   1663 moira     20   0  323336   7876   7156 S   0,0   0,2   0:00.18 gsd-housekeepin
   1665 moira     20   0  352452  24368  19460 S   0,0   0,6   0:00.32 gsd-keyboard
   1670 moira     20   0  768360  26540  21132 S   0,0   0,7   0:00.38 gsd-media-keys
   1671 moira     20   0  352752  24696  19780 S   0,0   0,6   0:00.38 gsd-power
   1678 moira     20   0  259652  11564  10148 S   0,0   0,3   0:00.05 gsd-print-notif
   1684 moira     20   0  468524   6184   5616 S   0,0   0,2   0:00.08 gsd-rfkill
   1687 moira     20   0  246932   6188   5688 S   0,0   0,2   0:00.03 gsd-screensaver
   1690 moira     20   0  476392  10572   9012 S   0,0   0,3   0:00.64 gsd-sharing
   1693 moira     20   0  326792   9064   8220 S   0,0   0,2   0:00.04 gsd-smartcard
   1697 moira     20   0  330984   9604   8564 S   0,0   0,2   0:00.05 gsd-sound
   1701 moira     20   0  396572   7772   7052 S   0,0   0,2   0:00.05 gsd-usb-protect
   1710 moira     20   0  352200  23892  18916 S   0,0   0,6   0:00.34 gsd-wacom
   1717 moira     20   0  325616   8700   7780 S   0,0   0,2   0:00.04 gsd-wwan
   1718 moira     20   0  231800   5972   4676 S   0,0   0,2   0:00.04 gsd-disk-utilit
   1738 moira     20   0 1281244  64196  46008 S   0,0   1,7   0:03.86 riseup-vpn
   1742 moira     20   0  867212  57168  45632 S   0,0   1,5   0:00.77 evolution-alarm
   1802 moira     20   0  353608  14936  13092 S   0,0   0,4   0:00.06 gsd-printer
   1811 moira     20   0 1248056 197336  42936 S   0,0   5,1   0:21.33 snap-store
   1841 moira     20   0  542812   7148   6460 S   0,0   0,2   0:00.13 xdg-document-po
   1999 moira     20   0  396192   8756   7268 S   0,0   0,2   0:00.11 ibus-daemon
   2004 moira     20   0  674272  35028  25344 S   0,0   0,9   0:00.63 gsd-xsettings
   2010 moira     20   0  174248   7352   6740 S   0,0   0,2   0:00.02 ibus-memconf
   2012 moira     20   0  356984  27812  18496 S   0,0   0,7   0:03.74 ibus-extension-
   2014 moira     20   0  205448  24916  18844 S   0,0   0,6   0:00.40 ibus-x11
   2023 moira     20   0  248020   7556   6924 S   0,0   0,2   0:00.10 ibus-portal
